time,open,high,low,close,vwap,volume,count
1738852200,0.071567,0.071623,0.071405,0.071405,3.49739561,6,
1738853100,0.071373,0.071373,0.071089,0.071089,26.24058665,10,
1738854000,0.071035,0.071035,0.070828,0.070984,26.55898541,12,
1738854900,0.070829,0.070841,0.070709,0.070809,58.44915276,12,
1738855800,0.070708,0.070959,0.070652,0.070897,124.55970355,16,
1738856700,0.07079,0.070874,0.07079,0.070813,7.285376,4,
1738857600,0.070643,0.070826,0.070546,0.070657,5.16150749,9,
1738858500,0.070708,0.070923,0.0703,0.070353,21.08669236,13,
1738859400,0.070272,0.070404,0.07011,0.07011,148.03363415,16,
1738860300,0.070107,0.070107,0.07001,0.070072,2.05321625,8,
1738861200,0.070282,0.070355,0.070077,0.070355,14.14561232,13,
1738862100,0.070119,0.070734,0.070109,0.070734,109.6457343,26,
1738863000,0.070846,0.070936,0.070768,0.070868,8.28826725,7,
1738863900,0.070822,0.070822,0.070465,0.070465,14.4770747,7,
1738864800,0.070384,0.070797,0.070384,0.070728,73.33533463,11,
1738865700,0.070273,0.070336,0.070195,0.070336,12.32819294,9,
1738866600,0.070194,0.070505,0.070107,0.070328,71.37793031,16,
1738867500,0.070278,0.070559,0.070276,0.07052,27.14248708,4,
1738868400,0.070269,0.070535,0.070269,0.070381,155.66193,8,
1738869300,0.070427,0.070428,0.070319,0.070319,3.94183378,5,
1738870200,0.070318,0.070414,0.070318,0.070414,84.79674,6,
1738871100,0.070555,0.070607,0.070551,0.070607,18.32058,6,
1738872000,0.070615,0.070889,0.070615,0.07074,13.94139166,13,
1738872900,0.070776,0.070818,0.070593,0.070818,2.04385201,6,
1738873800,0.070835,0.070933,0.070809,0.070809,1118.03008,74,
1738874700,0.070823,0.070974,0.070823,0.070974,4.00268,6,
1738875600,0.070899,0.071084,0.070889,0.071055,18.52457196,11,
1738876500,0.071089,0.071194,0.071089,0.071186,8.9580943,8,
1738877400,0.071161,0.071371,0.071161,0.071362,322.48251213,17,
1738878300,0.071237,0.071805,0.071215,0.071805,51.24217351,23,
1738879200,0.071766,0.071975,0.071422,0.071893,82.49016814,25,
1738880100,0.071898,0.071912,0.071443,0.071523,5.66337165,11,
1738881000,0.071341,0.071343,0.071089,0.0712,6.14762906,11,
1738881900,0.071041,0.071092,0.070689,0.070689,6.71494893,12,
1738882800,0.070615,0.070795,0.070465,0.070602,3.17183256,8,
1738883700,0.070782,0.070782,0.070272,0.070272,31.62105623,6,
1738884600,0.070542,0.070542,0.070542,0.070542,0.2081,1,
1738885500,0.070542,0.070543,0.070399,0.070543,8.30576643,7,
1738886400,0.070784,0.070791,0.07068,0.07068,28.83918,8,
1738887300,0.070727,0.070824,0.070691,0.070734,10.93507564,5,
1738888200,0.070799,0.070896,0.070759,0.070759,85.29971,13,
1738889100,0.070801,0.070801,0.070727,0.070728,3.82460617,5,
1738890000,0.070641,0.070726,0.070641,0.070726,15.37107,5,
1738890900,0.070729,0.070787,0.070618,0.070648,12.90013,5,
1738891800,0.070563,0.070571,0.070462,0.070571,1.21955,6,
1738893600,0.070896,0.071186,0.070896,0.071186,5.52535779,13,
1738894500,0.071191,0.071449,0.071191,0.071408,1.05318525,8,
1738895400,0.071502,0.071502,0.071487,0.071487,0.46867,2,
1738897200,0.071416,0.071567,0.071354,0.071552,193.85660366,15,
1738898100,0.07141,0.071415,0.071371,0.071372,2.07065131,5,
1738899000,0.071422,0.071445,0.071348,0.071354,8.52017,4,
1738899900,0.071384,0.071384,0.071239,0.071239,1.28144,3,
1738900800,0.071402,0.071417,0.07138,0.07138,1.85664637,5,
1738901700,0.071567,0.071575,0.071567,0.071575,0.51499478,2,
1738903500,0.071416,0.071442,0.071402,0.071442,1.15425242,7,
1738904400,0.071308,0.071308,0.071307,0.071307,14.2314564,2,
1738906200,0.071089,0.071194,0.071007,0.071194,2.95444514,6,
1738907100,0.071025,0.071025,0.070926,0.070926,6.77564574,6,
1738908000,0.070961,0.070993,0.070961,0.070993,0.21,2,
1738908900,0.070983,0.070984,0.070983,0.070984,5.48384,2,
1738910700,0.07102,0.071081,0.070779,0.070789,44.29159,10,
1738911600,0.070829,0.070886,0.070828,0.070886,2.27582966,4,
1738912500,0.071107,0.071178,0.071107,0.071178,2.05396,2,
1738913400,0.070946,0.070946,0.070946,0.070946,0.15324,1,
1738914300,0.070944,0.070983,0.0709,0.070983,122.35248119,19,
1738915200,0.070918,0.071034,0.0709,0.070977,1196.19945423,44,
1738916100,0.071037,0.071082,0.0709,0.0709,1482.17486538,129,
1738917000,0.070962,0.071143,0.070962,0.071143,0.08362436,2,
1738917900,0.071081,0.071081,0.071002,0.071033,0.31776,5,
1738918800,0.071246,0.071279,0.071193,0.071279,0.94321169,7,
1738919700,0.071264,0.071567,0.071264,0.071567,74.35847964,15,
1738920600,0.07167,0.071917,0.071612,0.071917,28.03711338,20,
1738921500,0.071975,0.072041,0.071975,0.072041,3.26138244,4,
1738922400,0.072004,0.072004,0.071846,0.071846,28.09811732,3,
1738923300,0.071692,0.071741,0.071653,0.071741,0.27767092,3,
1738924200,0.07187,0.071943,0.07187,0.071926,10.86251472,4,
1738925100,0.071857,0.071857,0.071857,0.071857,0.21,1,
1738926000,0.07204,0.072041,0.07204,0.072041,0.26161805,3,
1738926900,0.072034,0.072041,0.071843,0.071843,12.31871494,6,
1738927800,0.071783,0.072236,0.071783,0.072236,355.66893548,20,
1738928700,0.071891,0.071892,0.071891,0.071892,34.7746757,2,
1738929600,0.071838,0.071921,0.071838,0.071921,33.21582773,5,
1738930500,0.071754,0.071901,0.071754,0.071901,11.58149271,6,
1738931400,0.071865,0.072252,0.071865,0.072184,62.98043014,12,
1738932300,0.072081,0.072085,0.072006,0.072006,168.75419696,6,
1738933200,0.072064,0.072064,0.071963,0.071966,59.21644,4,
1738934100,0.072043,0.072064,0.072043,0.072064,33.54053,4,
1738935000,0.072029,0.072054,0.071985,0.072054,306.64402618,27,
1738935900,0.072097,0.072414,0.072097,0.072296,41.4307849,13,
1738936800,0.072476,0.072647,0.072476,0.072572,8.62146058,16,
1738937700,0.072362,0.072362,0.072362,0.072362,5.0,1,
1738938600,0.072435,0.072518,0.072435,0.072478,2.57592347,5,
1738939500,0.072496,0.072944,0.072496,0.072944,114.36637016,21,
1738940400,0.073,0.0731,0.072507,0.072556,319.57032978,53,
1738941300,0.072504,0.072639,0.072116,0.072336,258.44414188,22,
1738942200,0.072277,0.072506,0.07218,0.072495,39.71381327,11,
1738943100,0.072664,0.0728,0.072664,0.072735,88.4347074,11,
1738944900,0.072695,0.072721,0.072661,0.072721,1.10698772,8,
1738945800,0.072659,0.073019,0.072659,0.073019,25.35950693,11,
1738946700,0.073048,0.073048,0.07283,0.072873,2.46240475,7,
